grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, topspin16-4, "10 1 12 3 7 13 6 2 8 14 11 9 0 5 4 15", na, na, na, na
X, dfid, topspin16-4, "0 4 3 2 1 5 6 7 11 10 9 8 12 13 14 15", 2, 475, 0.000013, 3.6538461538e+07
X, dfid, topspin16-4, "11 3 5 2 12 0 8 9 7 6 14 4 1 10 13 15", na, na, na, na
X, dfid, topspin16-4, "8 5 9 14 12 13 6 7 11 10 1 3 4 2 0 15", na, na, na, na
X, dfid, topspin16-4, "0 13 6 7 5 10 11 1 9 12 8 3 4 14 2 15", na, na, na, na
X, dfid, topspin16-4, "14 6 12 1 10 0 9 2 5 8 13 7 4 11 3 15", na, na, na, na
X, dfid, topspin16-4, "9 8 6 1 2 4 5 10 14 13 12 11 7 3 0 15", 8, 135936536, 2.333120, 5.8263842408e+07
X, dfid, topspin16-4, "14 6 7 10 9 2 8 4 5 3 1 13 12 11 0 15", 8, 406125543, 7.106724, 5.7146660402e+07
X, dfid, topspin16-4, "0 10 5 6 11 7 8 9 12 1 2 14 13 4 3 15", 10, 1076647210, 173.612598, 6.2014348175e+06
X, dfid, topspin16-4, "0 7 5 11 6 14 4 2 10 13 1 9 3 8 12 15", na, na, na, na
X, dfid, topspin16-4, "0 1 2 9 5 4 3 10 6 7 13 12 11 8 14 15", 4, 64896, 0.001179, 5.5043256997e+07
X, dfid, topspin16-4, "3 7 6 1 2 0 9 8 5 12 11 10 4 13 14 15", 6, 2655870, 0.046500, 5.7115483871e+07
X, dfid, topspin16-4, "3 1 6 5 2 0 9 8 7 4 10 14 13 12 11 15", 6, 2476881, 0.042930, 5.7695807128e+07
X, dfid, topspin16-4, "8 3 7 4 5 6 9 10 11 1 14 13 12 0 2 15", 8, 520527400, 9.114210, 5.7111631178e+07
X, dfid, topspin16-4, "13 14 7 2 3 4 6 5 11 10 0 1 12 8 9 15", 10, 2472745683, 573.636297, 4.3106506613e+06
X, dfid, topspin16-4, "10 11 12 5 14 2 1 0 6 7 3 9 13 4 8 15", 8, 126396487, 2.158659, 5.8553243935e+07
X, dfid, topspin16-4, "5 4 9 12 8 1 2 3 6 14 11 7 13 0 10 15", na, na, na, na
X, dfid, topspin16-4, "13 8 2 10 14 4 6 0 9 1 12 11 5 7 3 15", na, na, na, na
X, dfid, topspin16-4, "10 11 12 14 4 5 1 13 7 6 2 3 8 9 0 15", 6, 5107482, 0.088952, 5.7418405432e+07
X, dfid, topspin16-4, "14 2 7 11 6 9 1 10 5 4 13 0 8 12 3 15", na, na, na, na
X, dfid, topspin16-4, "1 3 7 6 8 5 4 2 9 0 12 14 13 11 10 15", 8, 309975997, 5.259764, 5.8933442071e+07
X, dfid, topspin16-4, "3 2 1 0 12 5 6 7 11 10 4 8 9 13 14 15", 6, 1483941, 0.025712, 5.7713946795e+07
X, dfid, topspin16-4, "0 12 13 14 4 3 2 1 8 7 6 5 9 10 11 15", 4, 21725, 0.000371, 5.8557951482e+07
