grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, 11puzzle, "4 3 2 6 1 8 B 5 7 9 10 11", 10, 8797, 0.000195, 4.5112820513e+07
X, dfid, 11puzzle, "3 1 4 5 B 2 6 7 8 9 10 11", 8, 1962, 0.000045, 4.3600000000e+07
X, dfid, 11puzzle, "3 1 2 6 7 11 8 4 10 9 B 5", 18, 1085407, 0.022525, 4.8186770255e+07
X, dfid, 11puzzle, "4 3 2 1 7 5 10 9 8 6 B 11", 12, 30291, 0.000645, 4.6962790698e+07
X, dfid, 11puzzle, "3 1 4 6 5 2 B 7 8 9 10 11", 8, 2277, 0.000060, 3.7950000000e+07
X, dfid, 11puzzle, "3 5 2 1 9 11 10 4 B 6 8 7", na, na, na, na
X, dfid, 11puzzle, "1 2 B 3 6 4 7 8 5 9 10 11", 10, 4056, 0.000097, 4.1814432990e+07
X, dfid, 11puzzle, "3 5 1 4 7 2 6 10 8 9 B 11", 8, 2349, 0.000048, 4.8937500000e+07
X, dfid, 11puzzle, "1 4 B 3 7 2 9 6 5 10 11 8", 10, 7547, 0.000171, 4.4134502924e+07
X, dfid, 11puzzle, "1 2 B 3 4 5 9 11 8 7 6 10", 14, 104273, 0.001876, 5.5582622601e+07
X, dfid, 11puzzle, "B 2 3 1 6 5 11 7 4 9 8 10", 24, 66935605, 1.141317, 5.8647689468e+07
X, dfid, 11puzzle, "3 1 B 6 5 2 10 4 8 7 9 11", 10, 6746, 0.000128, 5.2703125000e+07
X, dfid, 11puzzle, "3 1 2 6 8 4 9 7 5 10 B 11", 10, 6000, 0.000114, 5.2631578947e+07
X, dfid, 11puzzle, "B 3 2 6 1 4 9 7 5 10 11 8", 10, 4865, 0.000097, 5.0154639175e+07
X, dfid, 11puzzle, "1 4 2 3 7 5 10 8 11 6 B 9", 10, 4913, 0.000118, 4.1635593220e+07
X, dfid, 11puzzle, "2 3 B 6 8 5 9 11 4 7 1 10", 28, 868367701, 15.622454, 5.5584590039e+07
X, dfid, 11puzzle, "3 2 5 6 4 10 1 7 8 9 B 11", 20, 3459432, 0.062540, 5.5315510074e+07
X, dfid, 11puzzle, "B 4 1 5 2 8 3 7 11 6 9 10", 18, 1465868, 0.026146, 5.6064713532e+07
X, dfid, 11puzzle, "B 3 2 4 1 5 6 7 8 9 10 11", 4, 79, 0.000005, 1.5800000000e+07
X, dfid, 11puzzle, "B 7 2 1 3 8 4 5 6 9 10 11", 14, 89955, 0.001695, 5.3070796460e+07
X, dfid, 11puzzle, "1 4 2 3 7 5 6 8 11 9 B 10", 6, 353, 0.000016, 2.2062500000e+07
X, dfid, 11puzzle, "2 4 3 1 7 5 B 6 8 9 10 11", 14, 91013, 0.001783, 5.1044868200e+07
X, dfid, 11puzzle, "3 1 2 6 4 5 B 9 11 10 8 7", 10, 6927, 0.000165, 4.1981818182e+07
X, dfid, 11puzzle, "6 3 4 10 1 2 9 7 5 11 B 8", 20, 4895858, 0.089327, 5.4808266258e+07
X, dfid, 11puzzle, "7 8 1 3 B 2 4 6 5 9 10 11", 14, 133763, 0.002750, 4.8641090909e+07
X, dfid, 11puzzle, "3 5 4 6 2 1 7 10 8 9 B 11", 16, 389635, 0.006997, 5.5686008289e+07
X, dfid, 11puzzle, "3 1 2 10 4 8 5 7 11 6 B 9", 16, 250040, 0.006289, 3.9758308157e+07
X, dfid, 11puzzle, "3 1 5 2 7 4 6 10 8 9 B 11", 10, 8594, 0.000164, 5.2402439024e+07
X, dfid, 11puzzle, "3 1 2 6 4 5 7 10 8 9 B 11", 4, 133, 0.000006, 2.2166666667e+07
X, dfid, 11puzzle, "3 1 2 4 7 5 B 6 10 9 11 8", 8, 1522, 0.000037, 4.1135135135e+07
X, dfid, 11puzzle, "3 2 5 4 1 8 6 7 11 9 B 10", 8, 1504, 0.000036, 4.1777777778e+07
X, dfid, 11puzzle, "3 2 B 4 1 5 6 7 8 9 10 11", 4, 79, 0.000005, 1.5800000000e+07
X, dfid, 11puzzle, "1 5 4 7 B 2 3 6 10 9 11 8", 14, 111175, 0.001994, 5.5754764293e+07
X, dfid, 11puzzle, "1 7 B 3 6 2 11 8 9 4 5 10", 28, 913374390, 15.705826, 5.8155132369e+07
X, dfid, 11puzzle, "3 1 4 6 B 7 9 5 2 10 8 11", 16, 367820, 0.006467, 5.6876449668e+07
X, dfid, 11puzzle, "3 1 2 6 4 5 9 7 B 11 8 10", 12, 33654, 0.000729, 4.6164609053e+07
X, dfid, 11puzzle, "1 2 B 3 4 11 7 8 5 6 9 10", 16, 276849, 0.004969, 5.5715234454e+07
X, dfid, 11puzzle, "3 1 2 8 B 4 6 10 9 5 7 11", 22, 21297030, 0.369460, 5.7643669139e+07
X, dfid, 11puzzle, "3 1 B 6 8 2 5 4 10 9 11 7", 16, 341213, 0.005920, 5.7637331081e+07
X, dfid, 11puzzle, "1 5 B 3 2 8 6 4 11 9 7 10", 10, 5694, 0.000130, 4.3800000000e+07
X, dfid, 11puzzle, "4 1 3 10 2 5 7 8 11 6 B 9", 22, 14663173, 0.250467, 5.8543333054e+07
X, dfid, 11puzzle, "B 4 2 1 8 3 6 10 7 11 9 5", 22, 20032888, 0.343687, 5.8288174996e+07
X, dfid, 11puzzle, "B 4 5 1 6 7 3 10 2 9 11 8", 20, 3283253, 0.056157, 5.8465605356e+07
X, dfid, 11puzzle, "1 5 B 6 2 8 3 4 11 7 9 10", 18, 1009169, 0.017438, 5.7871831632e+07
X, dfid, 11puzzle, "3 1 2 6 4 7 9 8 10 11 B 5", 16, 307868, 0.005433, 5.6666298546e+07
X, dfid, 11puzzle, "2 5 B 9 11 8 1 7 6 3 10 4", na, na, na, na
X, dfid, 11puzzle, "5 1 B 3 4 2 8 6 7 9 10 11", 20, 5072789, 0.087442, 5.8013185883e+07
X, dfid, 11puzzle, "1 4 2 3 5 8 6 10 7 9 B 11", 6, 481, 0.000016, 3.0062500000e+07
X, dfid, 11puzzle, "3 6 2 1 7 5 9 4 8 10 B 11", 20, 4410599, 0.078842, 5.5942251592e+07
X, dfid, 11puzzle, "1 2 5 11 B 4 7 3 10 6 9 8", 18, 1579892, 0.029830, 5.2963191418e+07
