grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
X, dfid, pancake16, "15 7 1 8 10 9 11 4 0 5 2 3 14 12 6 13", na, na, na, na
X, dfid, pancake16, "9 6 2 0 15 7 13 12 3 8 11 4 1 5 14 10", na, na, na, na
X, dfid, pancake16, "1 12 13 9 7 6 15 14 0 2 3 4 5 11 10 8", na, na, na, na
X, dfid, pancake16, "3 4 5 6 7 8 9 10 11 12 15 14 13 0 1 2", 4, 508530, 0.009085, 5.5974683544e+07
X, dfid, pancake16, "4 3 12 11 10 0 9 2 5 1 8 7 6 13 14 15", na, na, na, na
X, dfid, pancake16, "1 13 0 2 9 12 11 8 14 15 4 5 6 7 3 10", na, na, na, na
X, dfid, pancake16, "14 3 0 10 1 9 8 7 2 5 4 15 12 13 6 11", na, na, na, na
X, dfid, pancake16, "11 12 14 13 10 9 8 0 1 2 3 4 5 6 7 15", 4, 133100, 0.002814, 4.7299218195e+07
X, dfid, pancake16, "14 15 13 10 9 8 11 12 7 6 5 4 3 2 1 0", 6, 12380521, 0.216649, 5.7145525712e+07
X, dfid, pancake16, "13 12 11 10 9 8 7 6 5 4 3 2 1 0 14 15", 1, 198, 0.000005, 3.9600000000e+07
X, dfid, pancake16, "4 8 6 2 3 0 13 14 7 9 11 1 12 5 15 10", na, na, na, na
X, dfid, pancake16, "5 0 1 2 3 4 12 13 14 15 6 7 8 9 10 11", 4, 419274, 0.007083, 5.9194409149e+07
X, dfid, pancake16, "1 0 8 9 10 7 11 2 3 12 13 14 4 5 6 15", 7, 752985380, 12.041202, 6.2534070934e+07
X, dfid, pancake16, "4 5 3 2 1 0 6 7 8 9 10 11 12 13 14 15", 2, 289, 0.000007, 4.1285714286e+07
X, dfid, pancake16, "9 10 8 7 6 3 2 1 0 4 5 11 12 13 14 15", 4, 72250, 0.001119, 6.4566577301e+07
X, dfid, pancake16, "5 4 3 2 1 0 6 7 8 9 12 11 10 13 14 15", 4, 243131, 0.003744, 6.4938835470e+07
X, dfid, pancake16, "15 0 1 3 2 5 6 12 11 10 9 8 7 4 14 13", na, na, na, na
X, dfid, pancake16, "6 7 12 11 10 9 8 5 4 3 2 1 0 13 14 15", 3, 18968, 0.000295, 6.4298305085e+07
X, dfid, pancake16, "3 1 0 6 5 4 2 7 8 9 10 11 12 13 14 15", 5, 3038288, 0.060234, 5.0441411827e+07
X, dfid, pancake16, "7 8 9 10 6 5 4 3 0 1 2 11 12 13 14 15", 3, 11023, 0.000199, 5.5391959799e+07
X, dfid, pancake16, "15 3 4 5 6 7 8 2 1 0 10 11 12 13 14 9", 6, 57119042, 1.024543, 5.5750751311e+07
X, dfid, pancake16, "2 3 4 11 14 10 7 0 5 1 13 12 8 9 6 15", na, na, na, na
X, dfid, pancake16, "9 8 7 6 5 10 3 2 1 0 11 14 13 12 4 15", 6, 40131572, 0.709542, 5.6559825916e+07
X, dfid, pancake16, "10 9 4 14 15 3 0 7 12 6 1 8 11 13 5 2", na, na, na, na
X, dfid, pancake16, "2 1 0 14 3 4 5 6 7 8 9 10 11 12 13 15", 3, 12032, 0.000265, 4.5403773585e+07
X, dfid, pancake16, "4 3 1 2 0 12 5 6 7 8 11 13 14 10 9 15", na, na, na, na
X, dfid, pancake16, "3 7 6 5 14 0 1 2 4 8 9 10 13 12 11 15", 7, 856340749, 14.626413, 5.8547557012e+07
X, dfid, pancake16, "6 7 5 4 3 2 1 0 8 9 10 11 12 13 14 15", 2, 319, 0.000011, 2.9000000000e+07
X, dfid, pancake16, "0 5 1 8 3 4 15 2 6 12 14 10 11 9 7 13", na, na, na, na
X, dfid, pancake16, "10 9 6 0 1 5 7 8 4 3 2 11 12 13 14 15", 6, 84711803, 1.859650, 4.5552551824e+07
X, dfid, pancake16, "15 14 13 12 11 10 9 8 7 6 5 4 3 0 1 2", 2, 3213, 0.000060, 5.3550000000e+07
X, dfid, pancake16, "1 2 3 4 5 6 7 8 9 10 11 12 13 0 14 15", 2, 2730, 0.000074, 3.6891891892e+07
X, dfid, pancake16, "7 11 12 13 14 10 9 8 6 5 4 3 2 1 0 15", 4, 311339, 0.005287, 5.8887648950e+07
X, dfid, pancake16, "3 12 0 8 7 9 11 10 13 6 5 15 14 2 1 4", na, na, na, na
X, dfid, pancake16, "1 0 8 7 6 5 4 3 2 9 10 11 12 13 14 15", 4, 66611, 0.001182, 5.6354483926e+07
