grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, pdb, 15-puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14", 53, 43, 1770782, 0.333902, 5.3032985726e+06
X, ida, pdb, 15-puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3", 57, 43, 34388137, 6.288865, 5.4680990926e+06
X, ida, pdb, 15-puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6", 55, 43, 4391488, 0.793068, 5.5373410603e+06
X, ida, pdb, 15-puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6", 56, 42, 9912333, 1.792109, 5.5310993918e+06
X, ida, pdb, 15-puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0", 56, 42, 5749045, 1.054662, 5.4510781653e+06
X, ida, pdb, 15-puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13", 52, 42, 1890005, 0.341772, 5.5300170874e+06
X, ida, pdb, 15-puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7", 50, 34, 5315312, 0.950475, 5.5922691286e+06
X, ida, pdb, 15-puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0", 46, 34, 502514, 0.093112, 5.3968768795e+06
X, ida, pdb, 15-puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1", 59, 45, 24381630, 4.405865, 5.5339031042e+06
X, ida, pdb, 15-puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15", 45, 35, 163558, 0.037082, 4.4107113964e+06
X, ida, pdb, 15-puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7", 46, 38, 1248360, 0.223824, 5.5774179713e+06
X, ida, pdb, 15-puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12", 59, 43, 26470912, 4.795604, 5.5198285763e+06
X, ida, pdb, 15-puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0", 42, 28, 2899860, 0.525252, 5.5208928286e+06
X, ida, pdb, 15-puzzle, "6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13", 55, 43, 901189, 0.168405, 5.3513197352e+06
X, ida, pdb, 15-puzzle, "7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10", 46, 38, 115417, 0.025049, 4.6076490079e+06
X, ida, pdb, 15-puzzle, "6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0", 52, 36, 4650436, 0.852892, 5.4525496780e+06
X, ida, pdb, 15-puzzle, "12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2", 54, 38, 5193694, 0.941965, 5.5136804446e+06
X, ida, pdb, 15-puzzle, "10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12", 49, 33, 4222884, 0.763105, 5.5338177577e+06
X, ida, pdb, 15-puzzle, "7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0", 54, 38, 12610057, 2.311288, 5.4558570806e+06
X, ida, pdb, 15-puzzle, "11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12", 52, 36, 12648955, 2.270928, 5.5699498179e+06
X, ida, pdb, 15-puzzle, "5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11", 58, 40, 24662875, 4.515002, 5.4624283666e+06
X, ida, pdb, 15-puzzle, "14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11", 53, 41, 9310977, 1.649969, 5.6431223859e+06
X, ida, pdb, 15-puzzle, "13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7", 52, 36, 1484798, 0.274845, 5.4023103931e+06
X, ida, pdb, 15-puzzle, "9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12", 54, 40, 8919225, 1.650587, 5.4036685131e+06
X, ida, pdb, 15-puzzle, "12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11", 47, 37, 204054, 0.044897, 4.5449361873e+06
X, ida, pdb, 15-puzzle, "12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10", 50, 44, 280708, 0.054067, 5.1918545508e+06
X, ida, pdb, 15-puzzle, "6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15", 52, 38, 6259728, 1.188131, 5.2685503535e+06
X, ida, pdb, 15-puzzle, "1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10", 55, 41, 2421330, 0.448201, 5.4023306508e+06
X, ida, pdb, 15-puzzle, "12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10", 52, 40, 1170683, 0.218818, 5.3500306191e+06
X, ida, pdb, 15-puzzle, "8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4", 58, 40, 14111133, 2.634760, 5.3557565015e+06
X, ida, pdb, 15-puzzle, "9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2", 49, 35, 3871875, 0.720015, 5.3774921356e+06
X, ida, pdb, 15-puzzle, "11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8", 54, 36, 15270433, 2.882558, 5.2975284452e+06
X, ida, pdb, 15-puzzle, "8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7", 54, 36, 13552480, 2.536605, 5.3427632603e+06
X, ida, pdb, 15-puzzle, "4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10", 42, 32, 135184, 0.030959, 4.3665493071e+06
X, ida, pdb, 15-puzzle, "11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0", 64, 52, 13694993, 2.536911, 5.3982946189e+06
X, ida, pdb, 15-puzzle, "12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13", 50, 36, 2657350, 0.483944, 5.4910278875e+06
X, ida, pdb, 15-puzzle, "3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13", 51, 39, 887096, 0.166392, 5.3313620847e+06
X, ida, pdb, 15-puzzle, "8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11", 49, 39, 522737, 0.103379, 5.0565105099e+06
X, ida, pdb, 15-puzzle, "6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12", 47, 35, 402360, 0.086372, 4.6584541287e+06
X, ida, pdb, 15-puzzle, "8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14", 49, 41, 153703, 0.034762, 4.4215810368e+06
X, ida, pdb, 15-puzzle, "12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1", 53, 39, 10460921, 1.932072, 5.4143536059e+06
X, ida, pdb, 15-puzzle, "10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12", 56, 44, 11210424, 2.054626, 5.4561871601e+06
X, ida, pdb, 15-puzzle, "10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5", 56, 42, 10820759, 2.013735, 5.3734771457e+06
X, ida, pdb, 15-puzzle, "12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1", 56, 40, 26929765, 4.924573, 5.4684467059e+06
X, ida, pdb, 15-puzzle, "13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11", 41, 33, 62203, 0.014477, 4.2966774884e+06
X, ida, pdb, 15-puzzle, "5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14", 50, 38, 4294777, 0.786217, 5.4625847571e+06
X, ida, pdb, 15-puzzle, "5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13", 51, 37, 2678366, 0.497934, 5.3789578539e+06
X, ida, pdb, 15-puzzle, "6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15", 45, 33, 448087, 0.091897, 4.8759698358e+06
X, ida, pdb, 15-puzzle, "4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5", 57, 43, 22327514, 4.039071, 5.5278835158e+06
X, ida, pdb, 15-puzzle, "5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1", 51, 33, 23258407, 4.145246, 5.6108629017e+06
X, ida, pdb, 15-puzzle, "7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14", 47, 35, 974047, 0.186240, 5.2300633591e+06
X, ida, pdb, 15-puzzle, "7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9", 50, 32, 37431391, 6.681368, 5.6023543382e+06
X, ida, pdb, 15-puzzle, "7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9", 51, 35, 4537981, 0.816557, 5.5574577158e+06
X, ida, pdb, 15-puzzle, "6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3", 53, 39, 39348984, 6.991398, 5.6281996820e+06
X, ida, pdb, 15-puzzle, "15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11", 52, 34, 30325385, 5.412897, 5.6024315630e+06
X, ida, pdb, 15-puzzle, "5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14", 44, 32, 284108, 0.056968, 4.9871506811e+06
X, ida, pdb, 15-puzzle, "6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13", 49, 37, 744144, 0.136715, 5.4430311231e+06
X, ida, pdb, 15-puzzle, "14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5", 56, 48, 1123207, 0.202925, 5.5350843908e+06
X, ida, pdb, 15-puzzle, "14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11", 48, 34, 5375151, 0.946451, 5.6792702422e+06
X, ida, pdb, 15-puzzle, "15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4", 57, 41, 30912529, 5.519093, 5.6010161452e+06
X, ida, pdb, 15-puzzle, "0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7", 54, 34, 4987392, 0.901840, 5.5302403974e+06
X, ida, pdb, 15-puzzle, "3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11", 53, 41, 2641539, 0.467231, 5.6536038919e+06
X, ida, pdb, 15-puzzle, "0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15", 42, 30, 95712, 0.018209, 5.2563018288e+06
X, ida, pdb, 15-puzzle, "11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2", 57, 43, 30550203, 5.419589, 5.6369962741e+06
X, ida, pdb, 15-puzzle, "13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7", 53, 39, 657902, 0.123272, 5.3369946135e+06
X, ida, pdb, 15-puzzle, "12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8", 49, 39, 1320630, 0.236984, 5.5726546940e+06
