grupo, algorithm, heuristic, domain, instance, cost, h0, generated, time, gen_per_sec
X, ida, pdb, 15-puzzle, "7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14", 75, 43, 28983, 0.009075, 3.1937190083e+06
X, ida, pdb, 15-puzzle, "14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3", 75, 43, 112367, 0.022148, 5.0734603576e+06
X, ida, pdb, 15-puzzle, "13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6", 79, 43, 36259, 0.007240, 5.0081491713e+06
X, ida, pdb, 15-puzzle, "14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15", 77, 41, 29330, 0.007156, 4.0986584684e+06
X, ida, pdb, 15-puzzle, "5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6", 76, 42, 689705, 0.123959, 5.5639767988e+06
X, ida, pdb, 15-puzzle, "4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0", 76, 42, 1280, 0.000445, 2.8764044944e+06
X, ida, pdb, 15-puzzle, "14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13", 78, 42, 4665, 0.001249, 3.7349879904e+06
X, ida, pdb, 15-puzzle, "2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0", 60, 30, 19229, 0.003967, 4.8472397278e+06
X, ida, pdb, 15-puzzle, "12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7", 58, 34, 5156, 0.001307, 3.9449120122e+06
X, ida, pdb, 15-puzzle, "3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0", 58, 34, 37592, 0.008885, 4.2309510411e+06
X, ida, pdb, 15-puzzle, "13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1", 83, 45, 36727, 0.009205, 3.9898967952e+06
X, ida, pdb, 15-puzzle, "5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1", 79, 43, 7723, 0.001829, 4.2225259705e+06
X, ida, pdb, 15-puzzle, "14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15", 65, 35, 30074, 0.006277, 4.7911422654e+06
X, ida, pdb, 15-puzzle, "3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7", 66, 38, 421, 0.000193, 2.1813471503e+06
X, ida, pdb, 15-puzzle, "7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12", 79, 43, 94261, 0.022821, 4.1304500241e+06
X, ida, pdb, 15-puzzle, "13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0", 82, 46, 35941, 0.008224, 4.3702577821e+06
X, ida, pdb, 15-puzzle, "1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0", 44, 28, 1927, 0.000592, 3.2550675676e+06
X, ida, pdb, 15-puzzle, "15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12", 86, 48, 6762, 0.001673, 4.0418410042e+06
